CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
11279959	Active	363.400000	26	2	605.0	2.6	95.3	1	4
11281576	Active	420.500000	31	3	685.0	5.300	38.0	1	4
11282486	Active	456.500000	33	6	658.0	4.3	94.9	3	8
11282904	Active	474.600000	34	3	871.0	5.3	112.0	3	7
11291999	Active	382.500000	28	7	541.0	4.5	58.1	2	4
11293264	Active	427.500000	32	2	753.0	5.3	71.0	3	5
11302609	Active	352.400000	26	2	617.0	3.5	36.3	0	4
11304445	Active	411.400000	29	6	562.0	4.5	71.0	2	8
11304952	Active	429.500000	32	2	764.0	5.8	50.7	2	5
11305564	Active	454.500000	33	4	730.0	5.200	47.3	1	6
11316115	Active	420.500000	31	3	737.0	5.0	36.3	0	4
11327284	Active	408.400000	29	5	570.0	5.600	48.9	2	6
11327341	Active	410.400000	29	6	559.0	4.4	47.3	1	7
11330644	Active	576.700000	41	4	1130.0	5.8	96.5	2	8
11336351	Active	326.400000	24	1	540.0	2.9	36.3	0	4
11350176	Active	402.500000	30	2	687.0	4.4	36.3	0	4
11375176	Active	486.600000	36	3	913.0	4.6	84.2	2	6
11377050	Active	617.100000	42	12	966.0	6.3	114.0	2	10
11384310	Active	410.400000	29	6	559.0	4.5	47.3	1	7
11384346	Active	411.400000	29	6	562.0	4.3	71.0	2	8
11410199	Active	546.600000	39	12	842.0	5.5	114.0	2	8
11416730	Active	347.400000	26	2	602.0	2.000	80.2	1	4
11429662	Active	406.500000	30	3	641.0	5.100	38.0	1	4
11430241	Active	426.500000	32	2	762.0	5.1	63.6	2	5
11430586	Active	439.500000	33	3	765.0	6.5	50.7	2	4
11442368	Active	452.600000	33	7	690.0	6.9	36.3	0	4
11444034	Active	536.600000	39	7	831.0	6.7	62.2	2	6
11444087	Active	540.600000	40	3	1010.0	6.1	71.0	2	6
11453933	Active	459.600000	33	3	838.0	5.1	96.0	2	6
11454745	Active	495.500000	36	3	863.0	6.9	60.0	2	8
11463839	Active	404.500000	30	3	641.0	4.7	58.3	2	4
11474124	Active	368.500000	27	3	577.0	5.3	38.0	1	3
11474917	Active	395.400000	28	5	544.0	4.2	61.8	2	7
11475733	Active	422.900000	30	3	643.0	5.7	38.0	1	3
11477616	Active	503.600000	37	6	861.0	5.4	69.2	2	7
11495227	Active	410.400000	29	6	559.0	4.8	58.1	2	7
11495549	Active	424.500000	29	5	652.0	5.600	70.3	2	6
11504875	Inactive	544.700000	39	11	1110.0	5.8	118.0	2	7
11516847	Active	398.500000	29	7	550.0	5.5	58.1	2	4
11517391	Active	421.000000	30	3	699.0	7.1	44.9	2	2
