PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144205959,60651,0,inactive,inactive,,0
144205031,60699,0,inactive,inactive,,0
144204745,60703,0,inactive,inactive,,0
144205310,60712,0,inactive,inactive,,0
144206576,60714,0,inactive,inactive,,0
144206197,60749,0,inactive,inactive,,0
144206551,60754,0,inactive,inactive,,0
144206078,60758,0,inactive,inactive,,0
144210744,60768,0,inactive,inactive,,0
144206140,60785,0,inactive,inactive,,0
144206841,60790,0,inactive,inactive,,0
144205281,60795,0,inactive,inactive,,0
144206839,60810,0,inactive,inactive,,0
144205238,60822,0,inactive,inactive,,0
144205741,60834,0,inactive,inactive,,0
144204771,60839,0,inactive,inactive,,0
144205747,60854,43,active agonist,active agonist,21.6366,51.6419
144205743,60855,0,inactive,inactive,,0
144205008,60857,0,inactive,inactive,,0
144205796,60871,0,inactive,inactive,,0
144207166,60875,0,inactive,inactive,,0
144205746,60877,0,inactive,inactive,,0
144204741,60910,0,inactive,inactive,,0
144206514,60936,0,inactive,inactive,,0
144206533,60946,0,inactive,inactive,,0
144205751,60953,0,inactive,inactive,,0
144207897,60960,0,inactive,inactive,,0
144204442,60961,0,inactive,inactive,,0
144205171,60962,0,inactive,inactive,,0
144209770,60966,0,inactive,inactive,,0
144207769,60967,0,inactive,inactive,,0
144212124,60976,0,inactive,inactive,,0
144206386,60977,0,inactive,inactive,,0
144212277,60988,0,inactive,inactive,,0
144210992,60995,0,inactive,inactive,,0
144207883,60999,0,inactive,inactive,,0
144205185,61002,0,inactive,inactive,,0
144211373,61005,0,inactive,inactive,,0
144211482,61007,0,inactive,inactive,,0
144211245,61008,0,inactive,inactive,,0
144207961,61012,0,inactive,inactive,,0
144211288,61014,0,inactive,inactive,,0
144211258,61016,0,inactive,inactive,,0
144207275,61017,0,inactive,inactive,,0
144207347,61020,0,inactive,inactive,,0
144212878,61027,0,inactive,inactive,,0
144212937,61031,0,inactive,inactive,,0
