PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144204134,5284579,0,inactive,inactive,,0
144207161,5284587,62,active antagonist,active antagonist,2.39145,-94.7763
144204424,5284594,0,inactive,inactive,,0
144205559,5284596,0,inactive,inactive,,0
144204990,5284600,52,active antagonist,active antagonist,0.816571,-33.6719
144205208,5284607,0,inactive,inactive,,0
144204113,5284619,0,inactive,inactive,,0
144204974,5284623,20,active agonist,active agonist,4.25266,57.5311
144205025,5284627,0,inactive,inactive,,0
144204115,5284629,0,inactive,inactive,,0
144204274,5284630,0,inactive,inactive,,0
144205995,5284631,0,inactive,inactive,,0
144205000,5284633,0,inactive,inactive,,0
144212620,5287407,0,inactive,inactive,,0
144203659,5309446,0,inactive,inactive,,0
144204453,5310987,0,inactive,inactive,,0
144206358,5310993,0,inactive,inactive,,0
144207023,5311010,0,inactive,inactive,,0
144206935,5311051,20,active agonist,active agonist,0.00205113,124.394
144204824,5311064,0,inactive,inactive,,0
144206156,5311066,20,active agonist,active agonist,0.0515221,102.166
144204440,5311067,20,active agonist,active agonist,0.0205113,77.6263
144205331,5311100,0,inactive,inactive,,0
144210564,5311271,0,inactive,inactive,,0
144205561,5311304,0,inactive,inactive,,0
144206855,5311398,0,inactive,inactive,,0
144204487,5311429,0,inactive,inactive,,0
144207171,5311454,0,inactive,inactive,,0
144203909,5311498,0,inactive,inactive,,0
144212156,5318042,0,inactive,inactive,,0
144212773,5320128,0,inactive,inactive,,0
144210035,5321950,0,inactive,inactive,,0
144205055,5323714,0,inactive,inactive,,0
144206416,5324289,0,inactive,inactive,,0
144204388,5324346,0,inactive,inactive,,0
144207837,5325504,0,inactive,inactive,,0
144212947,5352539,0,inactive,inactive,,0
144212943,5352543,0,inactive,inactive,,0
144212919,5352837,0,inactive,inactive,,0
144203743,5353788,0,inactive,inactive,,0
144208059,5354133,0,inactive,inactive,,0
144208080,5354284,52,active antagonist,active antagonist,1.84754,-42.4658
144209942,5354342,0,inactive,inactive,,0
144211807,5354456,0,inactive,inactive,,0
144209959,5354626,0,inactive,inactive,,0
144212893,5355130,0,inactive,inactive,,0
144212761,5355850,0,inactive,inactive,,0
144211425,5355856,0,inactive,inactive,,0
144207548,5356785,0,inactive,inactive,,0
144205652,5356789,0,inactive,inactive,,0
144213003,5357002,0,inactive,inactive,,0
144204810,5358907,0,inactive,inactive,,0
144206163,5359271,0,inactive,inactive,,0
144206439,5359421,0,inactive,inactive,,0
144205321,5360232,0,inactive,inactive,,0
144205560,5360515,0,inactive,inactive,,0
144206480,5362115,0,inactive,inactive,,0
144204349,5362118,0,inactive,inactive,,0
144204259,5362129,0,inactive,inactive,,0
144205999,5362376,20,active agonist,active agonist,23.9145,51.5188
144210768,5362417,0,inactive,inactive,,0
144212776,5362564,0,inactive,inactive,,0
144211146,5362620,0,inactive,inactive,,0
144213711,5362708,49,active antagonist,active antagonist,34.6654,-93.3558
144213929,5362792,0,inactive,inactive,,0
144212791,5362833,0,inactive,inactive,,0
144213828,5363269,0,inactive,inactive,,0
144212607,5363388,0,inactive,inactive,,0
144210997,5364079,20,active agonist,active agonist,28.648,77.5983
